"SAMPLEID","INDEX_NAME","INDEX_CLASS","DRAINSQMI","nt_ffg_pred","nt_ffg_pred_NoChi","nt_habit_climb","nt_habit_cling","nt_Odon","nt_Pleco","nt_POET","nt_total","nt_Trich","nt_tv_intol2","nt_tv_intol4","pt_ffg_col","pt_habit_cling","pt_Insect","pt_longlived","pt_NonIns","pt_Odon","pt_Trich","pt_tv_toler6","pt_tv_toler8","ni_total","pi_Chi2Dipt","pi_dom05","pi_ffg_filt","pi_TrichNoHydro","pi_tv_toler8","x_HBI","x_HBI2"
20050023,"MN_IBI_Bugs",4,10.652713,14,11,13,9,6,0,11,40,2,0.301029995663981,3,27.5,22.5,72.5,17.5,27.5,15,5,77.5,40,284,91.4285714285714,79.2253521126761,3.87323943661972,0.00304769308200532,67.2535211267606,7.96394316870698,7.96394316870698
20050076,"MN_IBI_Bugs",4,37.02352904,11,9,8,3,3,0,6,28,1,0,2,32.1428571428571,10.7142857142857,67.8571428571429,17.8571428571429,32.1428571428571,10.7142857142857,3.57142857142857,75,50,240,100,82.0833333333333,0.833333333333333,0.0142404391146103,25,7.39336590830843,7.39336590830843
20050077,"MN_IBI_Bugs",5,26.1140195,13,9,10,13,0.698970004336019,0,12,47,4,0,6,40.4255319148936,27.6595744680851,1.14552440421019,10.6382978723404,17.0212765957447,8.51063829787234,8.51063829787234,70.2127659574468,36.1702127659574,317,97.1428571428571,53.3123028391167,11.3564668769716,2.20820189274448,55.5205047318612,7.67244753069062,7.67244753069062
20050080,"MN_IBI_Bugs",1,772.0836603,9,8,7,19,2,0,22,42,11,7,12,38.0952380952381,45.2380952380952,80.9523809523809,7.14285714285714,19.047619047619,4.76190476190476,26.1904761904762,57.1428571428571,23.8095238095238,263,39.2857142857143,67.680608365019,13.3079847908745,0.872964551110248,13.6882129277567,4.73367846035802,4.73367846035802
20050109,"MN_IBI_Bugs",1,567.3337628,6,5,8,13,2,0,14,34,6,1,8,38.2352941176471,38.2352941176471,70.5882352941177,14.7058823529412,29.4117647058824,5.88235294117647,17.6470588235294,67.6470588235294,23.5294117647059,325,60,55.6923076923077,13.8461538461538,0.610332517293952,7.38461538461539,6.2458222107441,6.2458222107441
20050124,"MN_IBI_Bugs",7,16.07984216,8,7,8,5,1,0,2,28,0,0,0,32.1428571428571,17.8571428571429,78.5714285714286,3.57142857142857,21.4285714285714,3.57142857142857,0,96.4285714285714,67.8571428571429,337,100,64.6884272997033,2.9673590504451,0,68.2492581602374,8.13150353409398,8.13150353409398
20050144,"MN_IBI_Bugs",3,29.22858978,13,10,8,21,0.602059991327962,0,16,46,5,2,5,34.7826086956522,45.6521739130435,1.14062246767406,17.3913043478261,17.3913043478261,6.52173913043478,10.8695652173913,65.2173913043478,26.0869565217391,300,91.4634146341463,50.3333333333333,41,9,29.6666666666667,6.34993619955791,6.34993619955791
20050147,"MN_IBI_Bugs",3,55.96566233,6,3,4,16,0.301029995663981,0,12,40,5,1,8,45,40,1.20942920288819,12.5,12.5,2.5,12.5,72.5,37.5,316,96.7391304347826,39.2405063291139,13.2911392405063,3.79746835443038,44.9367088607595,7.21269164137563,7.21269164137563
20050152,"MN_IBI_Bugs",4,208.8767118,8,4,8,15,1,0,11,46,3,0.477121254719662,7,45.6521739130435,32.6086956521739,82.6086956521739,10.8695652173913,17.3913043478261,2.17391304347826,6.52173913043478,73.9130434782609,34.7826086956522,305,97.8102189781022,47.5409836065574,37.7049180327869,0.0509942806959847,26.8852459016393,6.35036626982533,6.35036626982533
20050153,"MN_IBI_Bugs",4,17.18799396,12,9,11,13,2,0,11,45,4,0,3,40,28.8888888888889,86.6666666666667,8.88888888888889,13.3333333333333,4.44444444444444,8.88888888888889,77.7777777777778,42.2222222222222,344,88.7005649717514,68.0232558139535,28.4883720930233,0.00502080137505081,18.3139534883721,6.9377394593434,6.9377394593434
20050158,"MN_IBI_Bugs",3,210.8535935,10,9,6,19,0.602059991327962,0.602059991327962,21,47,7,3,10,31.9148936170213,40.4255319148936,1.17458875509969,19.1489361702128,14.8936170212766,6.38297872340426,14.8936170212766,48.936170212766,19.1489361702128,314,84.2696629213483,39.171974522293,24.203821656051,3.5031847133758,25.796178343949,6.60330457589899,6.60330457589899
20081568,"MN_IBI_Bugs",3,12.78110115,22,15,7,15,0.602059991327962,0,15,52,6,0,6,23.0769230769231,28.8461538461538,1.16773925232878,3.84615384615385,15.3846153846154,5.76923076923077,11.5384615384615,69.2307692307692,32.6923076923077,304,82.089552238806,52.9605263157895,35.5263157894737,1.97368421052632,30.2631578947368,7.12879340044479,7.12879340044479
20101936,"MN_IBI_Bugs",1,3130.446842,5,5,8,6,2,0,11,23,4,3,6,34.7826086956522,26.0869565217391,60.8695652173913,13.0434782608696,39.1304347826087,8.69565217391304,17.3913043478261,47.8260869565217,17.3913043478261,329,100,88.7537993920973,0.911854103343465,0.57235598493648,3.03951367781155,6.49017621375914,6.49017621375914
20131433,"MN_IBI_Bugs",1,3278.66119,10,9,10,11,5,0,18,35,6,1,5,28.5714285714286,31.4285714285714,82.8571428571429,14.2857142857143,17.1428571428571,14.2857142857143,17.1428571428571,65.7142857142857,31.4285714285714,320,100,71.25,10.625,0.64713836606315,11.5625,6.76463429627266,6.76463429627266
20131452,"MN_IBI_Bugs",4,17.72000413,17,14,12,12,2,0,11,51,5,0.477121254719662,8,33.3333333333333,23.5294117647059,80.3921568627451,9.80392156862745,19.6078431372549,3.92156862745098,9.80392156862745,62.7450980392157,27.4509803921569,305,74.6478873239437,50.4918032786885,12.4590163934426,0.0342141005311017,21.6393442622951,6.28084299088853,6.28084299088853
20131467,"MN_IBI_Bugs",4,20.25252541,14,10,8,14,0,0,9,49,7,0.301029995663981,7,32.6530612244898,28.5714285714286,85.7142857142857,2.04081632653061,14.2857142857143,0,14.2857142857143,69.3877551020408,32.6530612244898,307,90.4761904761905,52.442996742671,11.0749185667752,0.0287354682344926,57.6547231270358,7.59892443533915,7.59892443533915
20131679,"MN_IBI_Bugs",1,3839.407896,3,3,0,14,0,2,13,17,7,1,4,23.5294117647059,82.3529411764706,94.1176470588235,23.5294117647059,5.88235294117647,0,41.1764705882353,58.8235294117647,23.5294117647059,545,0,83.302752293578,70.6422018348624,0.702145846509468,29.1743119266055,7.42667656394639,7.42667656394639
