"SAMPLEID","INDEX_NAME","INDEX_CLASS","DRAINSQMI","nt_ffg_pred","nt_ffg_pred_NoChi","nt_habit_climb","nt_habit_cling","nt_Odon","nt_Pleco","nt_POET","nt_total","nt_Trich","nt_tv_intol2","nt_tv_intol4","pt_ffg_col","pt_habit_cling","pt_Insect","pt_longlived","pt_NonIns","pt_Odon","pt_Trich","pt_tv_toler6","pt_tv_toler8","ni_total","pi_Chi2Dipt","pi_dom05","pi_ffg_filt","pi_TrichNoHydro","pi_tv_toler8","x_HBI","x_HBI2","SC_pi_dom05","SC_x_HBI","SC_nt_tv_intol4","SC_nt_Odon","SC_nt_ffg_pred","SC_nt_total","SC_pi_TrichNoHydro","SC_pi_tv_toler8","SC_nt_habit_climb","SC_pt_habit_cling","SC_pt_Insect","SC_nt_Pleco","SC_nt_ffg_pred_NoChi","SC_pt_tv_toler6","SC_nt_Trich","SC_nt_habit_cling","SC_pi_ffg_filt","SC_nt_tv_intol2","SC_nt_POET","SC_pt_Trich","SC_pt_ffg_col","SC_pt_longlived","SC_pt_NonIns","SC_pt_Odon","SC_pt_tv_toler8","SC_x_HBI2","SC_pi_Chi2Dipt","sum_Index","Index","Index_Nar"
20050023,"MN_IBI_Bugs","4",10.652713,14,11,13,9,6,0,11,40,2,0.301029995663981,3,27.5,22.5,72.5,17.5,27.5,15,5,77.5,40,284,91.4285714285714,79.2253521126761,3.87323943661972,0.00304769308200532,67.2535211267606,7.96394316870698,7.96394316870698,2.43007621504336,2.97297702961056,NA,NA,7.14285714285714,6.19326500732064,0.0284179375712648,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,0.943001505351656,4.99999992798029,6.42857142857143,3.04347852551987,NA,NA,NA,NA,NA,NA,NA,38.8493113864929,38.8493113864929,"No Narrative"
20050076,"MN_IBI_Bugs","4",37.02352904,11,9,8,3,3,0,6,28,1,0,2,32.1428571428571,10.7142857142857,67.8571428571429,17.8571428571429,32.1428571428571,10.7142857142857,3.57142857142857,75,50,240,100,82.0833333333333,0.833333333333333,0.0142404391146103,25,7.39336590830843,7.39336590830843,1.82928525516581,4.84459352121831,NA,NA,5,2.67935578330893,0.132783682233553,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.134181099794241,0,2.85714285714286,2.17391323251419,NA,NA,NA,NA,NA,NA,NA,20.3179220980446,20.3179220980446,"No Narrative"
20050077,"MN_IBI_Bugs","5",26.1140195,13,9,10,13,0.698970004336019,0,12,47,4,0,6,40.4255319148936,27.6595744680851,1.14552440421019,10.6382978723404,17.0212765957447,8.51063829787234,8.51063829787234,70.2127659574468,36.1702127659574,317,97.1428571428571,53.3123028391167,11.3564668769716,2.20820189274448,55.5205047318612,7.67244753069062,7.67244753069062,6.21587833269099,1.98168581329863,NA,8.98244344430214,NA,NA,NA,NA,7.84366576819407,2.95212719830459,4.26064053147954,0,4.61538461538462,5.03139004935643,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.883215753011,43.883215753011,"No Narrative"
20050080,"MN_IBI_Bugs","1",772.0836603,9,8,7,19,2,0,22,42,11,7,12,38.0952380952381,45.2380952380952,80.9523809523809,7.14285714285714,19.047619047619,4.76190476190476,26.1904761904762,57.1428571428571,23.8095238095238,263,39.2857142857143,67.680608365019,13.3079847908745,0.872964551110248,13.6882129277567,4.73367846035802,4.73367846035802,3.59764151585074,10,6.59946214383528,4,3.74367622259696,5.36512667660209,6.340486712838,9.86397857385721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5103718455803,61.8879648069753,"No Narrative"
20050109,"MN_IBI_Bugs","1",567.3337628,6,5,8,13,2,0,14,34,6,1,8,38.2352941176471,38.2352941176471,70.5882352941177,14.7058823529412,29.4117647058824,5.88235294117647,17.6470588235294,67.6470588235294,23.5294117647059,325,60,55.6923076923077,13.8461538461538,0.610332517293952,7.38461538461539,6.2458222107441,6.2458222107441,6.55421677695811,7.3433927852992,4.39964142922352,4,1.72006745362563,2.9806259314456,4.43294657428369,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4308909508358,51.7886136885447,"No Narrative"
20050124,"MN_IBI_Bugs","7",16.07984216,8,7,8,5,1,0,2,28,0,0,0,32.1428571428571,17.8571428571429,78.5714285714286,3.57142857142857,21.4285714285714,3.57142857142857,0,96.4285714285714,67.8571428571429,337,100,64.6884272997033,2.9673590504451,0,68.2492581602374,8.13150353409398,8.13150353409398,5.48595809030816,2.4233428872,NA,NA,2.85714285714286,2.67935578330893,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0.701976119554326,0,0,0,NA,NA,NA,NA,NA,NA,NA,16.1477757375143,16.1477757375143,"No Narrative"
20050144,"MN_IBI_Bugs","3",29.22858978,13,10,8,21,0.602059991327962,0,16,46,5,2,5,34.7826086956522,45.6521739130435,1.14062246767406,17.3913043478261,17.3913043478261,6.52173913043478,10.8695652173913,65.2173913043478,26.0869565217391,300,91.4634146341463,50.3333333333333,41,9,29.6666666666667,6.34993619955791,6.34993619955791,6.95945663730097,5.86985946082913,NA,7.73705565136192,NA,NA,NA,NA,5.68733153638814,9.88677381751043,4.09585570801104,0,5.38461538461538,6.10334850750415,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7242967035212,54.7242967035212,"No Narrative"
20050147,"MN_IBI_Bugs","3",55.96566233,6,3,4,16,0.301029995663981,0,12,40,5,1,8,45,40,1.20942920288819,12.5,12.5,2.5,12.5,72.5,37.5,316,96.7391304347826,39.2405063291139,13.2911392405063,3.79746835443038,44.9367088607595,7.21269164137563,7.21269164137563,9.72832871911175,3.33336476761082,NA,3.86852782568096,NA,NA,NA,NA,1.37466307277628,7.70833212890644,6.40888151569674,0,0,4.54057203310269,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9626700628857,39.9626700628857,"No Narrative"
20050152,"MN_IBI_Bugs","4",208.8767118,8,4,8,15,1,0,11,46,3,0.477121254719662,7,45.6521739130435,32.6086956521739,82.6086956521739,10.8695652173913,17.3913043478261,2.17391304347826,6.52173913043478,73.9130434782609,34.7826086956522,305,97.8102189781022,47.5409836065574,37.7049180327869,0.0509942806959847,26.8852459016393,6.35036626982533,6.35036626982533,9.09061059165741,8.26585731775014,NA,NA,2.85714285714286,7.9502196193265,0.475491542723368,NA,NA,NA,NA,NA,NA,NA,NA,8.66666666666667,9.94451374721255,7.92481238945724,6.42857142857143,3.96975459850418,NA,NA,NA,NA,NA,NA,NA,65.5736407590123,65.5736407590123,"No Narrative"
20050153,"MN_IBI_Bugs","4",17.18799396,12,9,11,13,2,0,11,45,4,0,3,40,28.8888888888889,86.6666666666667,8.88888888888889,13.3333333333333,4.44444444444444,8.88888888888889,77.7777777777778,42.2222222222222,344,88.7005649717514,68.0232558139535,28.4883720930233,0.00502080137505081,18.3139534883721,6.9377394593434,6.9377394593434,4.78492660359929,6.33914655563115,NA,NA,5.71428571428571,7.65739385065886,0.0468160067942384,NA,NA,NA,NA,NA,NA,NA,NA,7.33333333333333,7.49228983911907,0,6.42857142857143,5.4106284898131,NA,NA,NA,NA,NA,NA,NA,51.2073918218062,51.2073918218062,"No Narrative"
