Calculation Type,Assemblage,Index_Name,Index_Class,Description,Full Criteria,Simplified Criteria,Notes
IBI,fish,MN_IBI_Fish,1,Southern Rivers,"Southern, warmwater, drainage area > 300 sq mi",,
IBI,fish,MN_IBI_Fish,2,Southern Streams,"Southern, warmwater, drainage area > 30 sq mi and < 300 sq mi",,
IBI,fish,MN_IBI_Fish,3,Southern Headwaters,"Southern, warmwater, drainage area < 30 sq mi, gradient > 0.50 m/km",,
IBI,fish,MN_IBI_Fish,4,Northern Rivers,"Northern, warmwater, Red Basin, drainage area > 350 sq mi OR Northern, warmwater, not Red Basin, drainage area > 500 sq mi",,
IBI,fish,MN_IBI_Fish,5,Northern Streams,"Northern, warmwater, Red Basin, drainage area > 50 and < 350 sq mi",,
IBI,fish,MN_IBI_Fish,6,Northern Headwaters,"Northern, warmwater, not Red Basin, drainage area < 50 sq mi, gradient > 0.50 m/km",,
IBI,fish,MN_IBI_Fish,7,Low Gradient Streams,"Southern, warmwater, drainage area < 30 sq mi, gradient < 0.50 m/km OR Northern, warmwater, not Red Basin, drainage area < 50 sq mi, gradient < 0.50 m/km",,
IBI,fish,MN_IBI_Fish,10,Southern Coldwater,"Southern, coldwater",,
IBI,fish,MN_IBI_Fish,11,Northern Coldwater,"Northern, coldwater",,
IBI,bug,MN_IBI_Bugs,1,Northern Forest Rivers,Rivers in the Laurentian Mixed Forest ecological province with drainage area >= 500 sq mi,Large rivers with drainage area >= 500 sq mi,Class 1 and 2 have the same rules
IBI,bug,MN_IBI_Bugs,2,Prairie Forest Rivers,"Rivers in the Eastern Broadleaf Forest, Prairie Parklands, or Tall Aspen Parklands ecological provinces with drainage area >= 500 sq mi",Large rivers with drainage area >= 500 sq mi,Class 1 and 2 have the same rules
IBI,bug,MN_IBI_Bugs,3,Northern Forest Streams RR,"Riffle Run streams in the Laurentian Mixed Forest ecological province, excluding HUC_07030005, with drainage area < 500 sq mi",Riffle Run streams with drainage area < 500 sq mi,Class 3 and 5 have the same rules
IBI,bug,MN_IBI_Bugs,4,Northern Forest Streams GP,"Glide Pool streams in the Laurentian Mixed Forest ecological province, excluding HUC_07030005, with drainage area < 500 sq mi",Glide Pool streams with drainage area < 500 sq mi,"Class 4, 6 and 7 have the same rules"
IBI,bug,MN_IBI_Bugs,5,Southern Streams RR,"Riffle Run streams in the Eastern Broadleaf Forest, Prairie Parklands, or Tall Aspen Parklands ecological provinces, and HUC_07030005, with drainage area < 500 sq mi",Riffle Run streams with drainage area < 500 sq mi,Class 3 and 5 have the same rules
IBI,bug,MN_IBI_Bugs,6,Southern Forest Streams GP,"Glide Pool streams in the Eastern Broadleaf Forest, and HUC_07030005, with drainage area < 500 sq mi",Glide Pool streams with drainage area < 500 sq mi,"Class 4, 6 and 7 have the same rules"
IBI,bug,MN_IBI_Bugs,7,Prairie Streams GP,"Glide Pool streams in the Prairie Parklands or Tall Aspen Parklands ecological provinces, with drainage area < 500 sq mi",Glide Pool streams with drainage area < 500 sq mi,"Class 4, 6 and 7 have the same rules"
IBI,bug,MN_IBI_Bugs,8,Northern Coldwater,"Northern coldwater streams in the Laurentian Mixed Forest ecological province, excluding HUC_07030005",,
IBI,bug,MN_IBI_Bugs,9,Southern Coldwater,"Southern coldwater streams in the Eastern Broadleaf Forest, Prairie Parklands, or Tall Aspen Parklands ecological provinces, and HUC_07030005",,
BCG,bug,MN_BCG,bug1,Minnesota bug 1 (n forest rivers),Rivers in the Laurentian Mixed Forest ecological province with drainage area >= 500 sq mi,,
BCG,bug,MN_BCG,bug2,Minnesota bug 2 (prairie rivers),"Rivers in the Eastern Broadleaf Forest, Prairie Parklands, or Tall Aspen Parklands ecological provinces with drainage area >= 500 sq mi",,
BCG,bug,MN_BCG,bug3,Minnesota bug 3 (n riffle run - forest),"Riffle Run streams in the Laurentian Mixed Forest ecological province, excluding HUC_07030005, with drainage area < 500 sq mi",,
BCG,bug,MN_BCG,bug4,Minnesota bug 4 (n forest glide-pool),"Glide Pool streams in the Laurentian Mixed Forest ecological province, excluding HUC_07030005, with drainage area < 500 sq mi",,
BCG,bug,MN_BCG,bug5,Minnesota bug 5 (s riffle-run),"Riffle Run streams in the Eastern Broadleaf Forest, Prairie Parklands, or Tall Aspen Parklands ecological provinces, and HUC_07030005, with drainage area < 500 sq mi",,
